lcsc_id,mpn,manufacturer,category,subcategory,package,voltage_v,capacitance_f,resistance_ohm,inductance_h,tolerance,temp_coeff,power_w,stock,price_cny,moq,description,keywords
,RC0603FR-073R3L,Yageo,Resistor,Thin Film,0603,,,3.3,,±1%,±100ppm/°C,0.1,,,,3.3Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-074R7L,Yageo,Resistor,Thin Film,0603,,,4.7,,±1%,±100ppm/°C,0.1,,,,4.7Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-076R8L,Yageo,Resistor,Thin Film,0603,,,6.8,,±1%,±100ppm/°C,0.1,,,,6.8Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0710RL,Yageo,Resistor,Thin Film,0603,,,10.0,,±1%,±100ppm/°C,0.1,,,,10Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0715RL,Yageo,Resistor,Thin Film,0603,,,15.0,,±1%,±100ppm/°C,0.1,,,,15Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0722RL,Yageo,Resistor,Thin Film,0603,,,22.0,,±1%,±100ppm/°C,0.1,,,,22Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0733RL,Yageo,Resistor,Thin Film,0603,,,33.0,,±1%,±100ppm/°C,0.1,,,,33Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0747RL,Yageo,Resistor,Thin Film,0603,,,47.0,,±1%,±100ppm/°C,0.1,,,,47Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0768RL,Yageo,Resistor,Thin Film,0603,,,68.0,,±1%,±100ppm/°C,0.1,,,,68Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07100L,Yageo,Resistor,Thin Film,0603,,,100.0,,±1%,±100ppm/°C,0.1,,,,100Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07150L,Yageo,Resistor,Thin Film,0603,,,150.0,,±1%,±100ppm/°C,0.1,,,,150Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07220L,Yageo,Resistor,Thin Film,0603,,,220.0,,±1%,±100ppm/°C,0.1,,,,220Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07330L,Yageo,Resistor,Thin Film,0603,,,330.0,,±1%,±100ppm/°C,0.1,,,,330Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07470L,Yageo,Resistor,Thin Film,0603,,,470.0,,±1%,±100ppm/°C,0.1,,,,470Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07680L,Yageo,Resistor,Thin Film,0603,,,680.0,,±1%,±100ppm/°C,0.1,,,,680Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-071KL,Yageo,Resistor,Thin Film,0603,,,1000.0,,±1%,±100ppm/°C,0.1,,,,1000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-071K5L,Yageo,Resistor,Thin Film,0603,,,1500.0,,±1%,±100ppm/°C,0.1,,,,1500Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-072K2L,Yageo,Resistor,Thin Film,0603,,,2200.0,,±1%,±100ppm/°C,0.1,,,,2200Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-073K3L,Yageo,Resistor,Thin Film,0603,,,3300.0,,±1%,±100ppm/°C,0.1,,,,3300Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-074K7L,Yageo,Resistor,Thin Film,0603,,,4700.0,,±1%,±100ppm/°C,0.1,,,,4700Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-076K8L,Yageo,Resistor,Thin Film,0603,,,6800.0,,±1%,±100ppm/°C,0.1,,,,6800Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0710KL,Yageo,Resistor,Thin Film,0603,,,10000.0,,±1%,±100ppm/°C,0.1,,,,10000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0715KL,Yageo,Resistor,Thin Film,0603,,,15000.0,,±1%,±100ppm/°C,0.1,,,,15000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0722KL,Yageo,Resistor,Thin Film,0603,,,22000.0,,±1%,±100ppm/°C,0.1,,,,22000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0733KL,Yageo,Resistor,Thin Film,0603,,,33000.0,,±1%,±100ppm/°C,0.1,,,,33000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0747KL,Yageo,Resistor,Thin Film,0603,,,47000.0,,±1%,±100ppm/°C,0.1,,,,47000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-0768KL,Yageo,Resistor,Thin Film,0603,,,68000.0,,±1%,±100ppm/°C,0.1,,,,68000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07100KL,Yageo,Resistor,Thin Film,0603,,,100000.0,,±1%,±100ppm/°C,0.1,,,,100000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07150KL,Yageo,Resistor,Thin Film,0603,,,150000.0,,±1%,±100ppm/°C,0.1,,,,150000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07220KL,Yageo,Resistor,Thin Film,0603,,,220000.0,,±1%,±100ppm/°C,0.1,,,,220000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07330KL,Yageo,Resistor,Thin Film,0603,,,330000.0,,±1%,±100ppm/°C,0.1,,,,330000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07470KL,Yageo,Resistor,Thin Film,0603,,,470000.0,,±1%,±100ppm/°C,0.1,,,,470000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-07680KL,Yageo,Resistor,Thin Film,0603,,,680000.0,,±1%,±100ppm/°C,0.1,,,,680000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0603FR-071ML,Yageo,Resistor,Thin Film,0603,,,1000000.0,,±1%,±100ppm/°C,0.1,,,,1000000Ω 0603 1% 1/10W,resistor 0603 1% thin-film
,RC0805FR-071RL,Yageo,Resistor,Thin Film,0805,,,1.0,,±1%,±100ppm/°C,0.125,,,,1Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-071R5L,Yageo,Resistor,Thin Film,0805,,,1.5,,±1%,±100ppm/°C,0.125,,,,1.5Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-072R2L,Yageo,Resistor,Thin Film,0805,,,2.2,,±1%,±100ppm/°C,0.125,,,,2.2Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-073R3L,Yageo,Resistor,Thin Film,0805,,,3.3,,±1%,±100ppm/°C,0.125,,,,3.3Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-074R7L,Yageo,Resistor,Thin Film,0805,,,4.7,,±1%,±100ppm/°C,0.125,,,,4.7Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-076R8L,Yageo,Resistor,Thin Film,0805,,,6.8,,±1%,±100ppm/°C,0.125,,,,6.8Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0710RL,Yageo,Resistor,Thin Film,0805,,,10.0,,±1%,±100ppm/°C,0.125,,,,10Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0715RL,Yageo,Resistor,Thin Film,0805,,,15.0,,±1%,±100ppm/°C,0.125,,,,15Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0722RL,Yageo,Resistor,Thin Film,0805,,,22.0,,±1%,±100ppm/°C,0.125,,,,22Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0733RL,Yageo,Resistor,Thin Film,0805,,,33.0,,±1%,±100ppm/°C,0.125,,,,33Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0747RL,Yageo,Resistor,Thin Film,0805,,,47.0,,±1%,±100ppm/°C,0.125,,,,47Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0768RL,Yageo,Resistor,Thin Film,0805,,,68.0,,±1%,±100ppm/°C,0.125,,,,68Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07100L,Yageo,Resistor,Thin Film,0805,,,100.0,,±1%,±100ppm/°C,0.125,,,,100Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07150L,Yageo,Resistor,Thin Film,0805,,,150.0,,±1%,±100ppm/°C,0.125,,,,150Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07220L,Yageo,Resistor,Thin Film,0805,,,220.0,,±1%,±100ppm/°C,0.125,,,,220Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07330L,Yageo,Resistor,Thin Film,0805,,,330.0,,±1%,±100ppm/°C,0.125,,,,330Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07470L,Yageo,Resistor,Thin Film,0805,,,470.0,,±1%,±100ppm/°C,0.125,,,,470Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07680L,Yageo,Resistor,Thin Film,0805,,,680.0,,±1%,±100ppm/°C,0.125,,,,680Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-071KL,Yageo,Resistor,Thin Film,0805,,,1000.0,,±1%,±100ppm/°C,0.125,,,,1000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-071K5L,Yageo,Resistor,Thin Film,0805,,,1500.0,,±1%,±100ppm/°C,0.125,,,,1500Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-072K2L,Yageo,Resistor,Thin Film,0805,,,2200.0,,±1%,±100ppm/°C,0.125,,,,2200Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-073K3L,Yageo,Resistor,Thin Film,0805,,,3300.0,,±1%,±100ppm/°C,0.125,,,,3300Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-074K7L,Yageo,Resistor,Thin Film,0805,,,4700.0,,±1%,±100ppm/°C,0.125,,,,4700Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-076K8L,Yageo,Resistor,Thin Film,0805,,,6800.0,,±1%,±100ppm/°C,0.125,,,,6800Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0710KL,Yageo,Resistor,Thin Film,0805,,,10000.0,,±1%,±100ppm/°C,0.125,,,,10000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0715KL,Yageo,Resistor,Thin Film,0805,,,15000.0,,±1%,±100ppm/°C,0.125,,,,15000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0722KL,Yageo,Resistor,Thin Film,0805,,,22000.0,,±1%,±100ppm/°C,0.125,,,,22000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0733KL,Yageo,Resistor,Thin Film,0805,,,33000.0,,±1%,±100ppm/°C,0.125,,,,33000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0747KL,Yageo,Resistor,Thin Film,0805,,,47000.0,,±1%,±100ppm/°C,0.125,,,,47000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-0768KL,Yageo,Resistor,Thin Film,0805,,,68000.0,,±1%,±100ppm/°C,0.125,,,,68000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07100KL,Yageo,Resistor,Thin Film,0805,,,100000.0,,±1%,±100ppm/°C,0.125,,,,100000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07150KL,Yageo,Resistor,Thin Film,0805,,,150000.0,,±1%,±100ppm/°C,0.125,,,,150000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07220KL,Yageo,Resistor,Thin Film,0805,,,220000.0,,±1%,±100ppm/°C,0.125,,,,220000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07330KL,Yageo,Resistor,Thin Film,0805,,,330000.0,,±1%,±100ppm/°C,0.125,,,,330000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07470KL,Yageo,Resistor,Thin Film,0805,,,470000.0,,±1%,±100ppm/°C,0.125,,,,470000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-07680KL,Yageo,Resistor,Thin Film,0805,,,680000.0,,±1%,±100ppm/°C,0.125,,,,680000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,RC0805FR-071ML,Yageo,Resistor,Thin Film,0805,,,1000000.0,,±1%,±100ppm/°C,0.125,,,,1000000Ω 0805 1% 1/8W,resistor 0805 1% thin-film
,CRCW04021R00FKED,Vishay,Resistor,Thin Film,0402,,,1.0,,±1%,±100ppm/°C,0.0625,,,,1Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04021R50FKED,Vishay,Resistor,Thin Film,0402,,,1.5,,±1%,±100ppm/°C,0.0625,,,,1.5Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04022R20FKED,Vishay,Resistor,Thin Film,0402,,,2.2,,±1%,±100ppm/°C,0.0625,,,,2.2Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04023R30FKED,Vishay,Resistor,Thin Film,0402,,,3.3,,±1%,±100ppm/°C,0.0625,,,,3.3Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04024R70FKED,Vishay,Resistor,Thin Film,0402,,,4.7,,±1%,±100ppm/°C,0.0625,,,,4.7Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04026R80FKED,Vishay,Resistor,Thin Film,0402,,,6.8,,±1%,±100ppm/°C,0.0625,,,,6.8Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040210R0FKED,Vishay,Resistor,Thin Film,0402,,,10.0,,±1%,±100ppm/°C,0.0625,,,,10Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040215R0FKED,Vishay,Resistor,Thin Film,0402,,,15.0,,±1%,±100ppm/°C,0.0625,,,,15Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040222R0FKED,Vishay,Resistor,Thin Film,0402,,,22.0,,±1%,±100ppm/°C,0.0625,,,,22Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040233R0FKED,Vishay,Resistor,Thin Film,0402,,,33.0,,±1%,±100ppm/°C,0.0625,,,,33Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040247R0FKED,Vishay,Resistor,Thin Film,0402,,,47.0,,±1%,±100ppm/°C,0.0625,,,,47Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040268R0FKED,Vishay,Resistor,Thin Film,0402,,,68.0,,±1%,±100ppm/°C,0.0625,,,,68Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402100RFKED,Vishay,Resistor,Thin Film,0402,,,100.0,,±1%,±100ppm/°C,0.0625,,,,100Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402150RFKED,Vishay,Resistor,Thin Film,0402,,,150.0,,±1%,±100ppm/°C,0.0625,,,,150Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402220RFKED,Vishay,Resistor,Thin Film,0402,,,220.0,,±1%,±100ppm/°C,0.0625,,,,220Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402330RFKED,Vishay,Resistor,Thin Film,0402,,,330.0,,±1%,±100ppm/°C,0.0625,,,,330Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402470RFKED,Vishay,Resistor,Thin Film,0402,,,470.0,,±1%,±100ppm/°C,0.0625,,,,470Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402680RFKED,Vishay,Resistor,Thin Film,0402,,,680.0,,±1%,±100ppm/°C,0.0625,,,,680Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04021K00FKED,Vishay,Resistor,Thin Film,0402,,,1000.0,,±1%,±100ppm/°C,0.0625,,,,1000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04021K50FKED,Vishay,Resistor,Thin Film,0402,,,1500.0,,±1%,±100ppm/°C,0.0625,,,,1500Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04022K20FKED,Vishay,Resistor,Thin Film,0402,,,2200.0,,±1%,±100ppm/°C,0.0625,,,,2200Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04023K30FKED,Vishay,Resistor,Thin Film,0402,,,3300.0,,±1%,±100ppm/°C,0.0625,,,,3300Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04024K70FKED,Vishay,Resistor,Thin Film,0402,,,4700.0,,±1%,±100ppm/°C,0.0625,,,,4700Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04026K80FKED,Vishay,Resistor,Thin Film,0402,,,6800.0,,±1%,±100ppm/°C,0.0625,,,,6800Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040210K0FKED,Vishay,Resistor,Thin Film,0402,,,10000.0,,±1%,±100ppm/°C,0.0625,,,,10000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040215K0FKED,Vishay,Resistor,Thin Film,0402,,,15000.0,,±1%,±100ppm/°C,0.0625,,,,15000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040222K0FKED,Vishay,Resistor,Thin Film,0402,,,22000.0,,±1%,±100ppm/°C,0.0625,,,,22000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040233K0FKED,Vishay,Resistor,Thin Film,0402,,,33000.0,,±1%,±100ppm/°C,0.0625,,,,33000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040247K0FKED,Vishay,Resistor,Thin Film,0402,,,47000.0,,±1%,±100ppm/°C,0.0625,,,,47000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW040268K0FKED,Vishay,Resistor,Thin Film,0402,,,68000.0,,±1%,±100ppm/°C,0.0625,,,,68000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402100KFKED,Vishay,Resistor,Thin Film,0402,,,100000.0,,±1%,±100ppm/°C,0.0625,,,,100000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402150KFKED,Vishay,Resistor,Thin Film,0402,,,150000.0,,±1%,±100ppm/°C,0.0625,,,,150000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402220KFKED,Vishay,Resistor,Thin Film,0402,,,220000.0,,±1%,±100ppm/°C,0.0625,,,,220000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402330KFKED,Vishay,Resistor,Thin Film,0402,,,330000.0,,±1%,±100ppm/°C,0.0625,,,,330000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402470KFKED,Vishay,Resistor,Thin Film,0402,,,470000.0,,±1%,±100ppm/°C,0.0625,,,,470000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW0402680KFKED,Vishay,Resistor,Thin Film,0402,,,680000.0,,±1%,±100ppm/°C,0.0625,,,,680000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,CRCW04021M00FKED,Vishay,Resistor,Thin Film,0402,,,1000000.0,,±1%,±100ppm/°C,0.0625,,,,1000000Ω 0402 1% 1/16W,resistor 0402 1% thin-film
,ERJ-2GEJ1R0X,Panasonic,Resistor,Thick Film,0402,,,1.0,,±1%,±100ppm/°C,0.0625,,,,1Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ1R5X,Panasonic,Resistor,Thick Film,0402,,,1.5,,±1%,±100ppm/°C,0.0625,,,,1.5Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ2R2X,Panasonic,Resistor,Thick Film,0402,,,2.2,,±1%,±100ppm/°C,0.0625,,,,2.2Ω 0402 1% 1/16W,resistor 0402 1% thick-film
,ERJ-2GEJ3R3X,Panasonic,Resistor,Thick Film,0402,,,3.3,,±1%,±100ppm/°C,0.0625,,,,3.3Ω 0402 1% 1/16W,resistor 0402 1% thick-film
